gene_symbol,chem_id,chem_name,action_norm,action_family
ABCA1,MESH:D010100,Oxygen,affects^expression,other
ABCA1,MESH:D014635,Valproic Acid,affects^expression,other
ABCA1,MESH:D016604,Aflatoxin B1,affects^expression,other
ABCA1,MESH:D019301,Oleic Acid,affects^cotreatment|affects^expression,other
ABCA1,MESH:D019308,Palmitic Acid,affects^cotreatment|affects^expression,other
ABCA10,MESH:C017947,sodium arsenite,affects^expression,other
ABCA12,MESH:C039961,"S-(1,2-dichlorovinyl)cysteine",affects^response to substance|increases^expression,activates
ABCA12,MESH:D000077143,Docetaxel,affects^expression|decreases^response to substance,inhibits
ABCA12,MESH:D008070,Lipopolysaccharides,affects^response to substance|increases^expression,activates
ABCA12,MESH:D014028,Tobacco Smoke Pollution,affects^expression,other
ABCA12,MESH:D014241,Trichloroethylene,affects^response to substance,other
ABCA12,MESH:D016604,Aflatoxin B1,affects^expression,other
ABCA13,MESH:C039961,"S-(1,2-dichlorovinyl)cysteine",affects^response to substance|increases^expression,activates
ABCA13,MESH:D003078,Colchicine,affects^response to substance,other
ABCA13,MESH:D008070,Lipopolysaccharides,affects^response to substance|increases^expression,activates
ABCA2,MESH:D007854,Lead,affects^expression,other
ABCA2,MESH:D019308,Palmitic Acid,affects^expression,other
ABCA3,MESH:C005445,triphenyl phosphate,affects^expression,other
ABCA3,MESH:C044887,beta-methylcholine,affects^expression,other
ABCA3,MESH:D004958,Estradiol,affects^expression,other
ABCA3,MESH:D006861,Hydrogen Peroxide,affects^expression,other
ABCA3,MESH:D007854,Lead,affects^expression,other
ABCA3,MESH:D014635,Valproic Acid,affects^expression,other
ABCA5,MESH:D004317,Doxorubicin,affects^expression,other
ABCA5,MESH:D013749,Tetrachlorodibenzodioxin,affects^expression,other
ABCA5,MESH:D014635,Valproic Acid,affects^expression,other
ABCA5,MESH:D014750,Vincristine,affects^expression|decreases^response to substance,inhibits
ABCA5,MESH:D016572,Cyclosporine,affects^expression,other
ABCA6,MESH:D002220,Carbamazepine,affects^expression,other
ABCA6,MESH:D002945,Cisplatin,affects^response to substance,other
ABCA6,MESH:D010634,Phenobarbital,affects^expression,other
ABCA7,MESH:C004648,testosterone enanthate,affects^expression,other
ABCA7,MESH:C005445,triphenyl phosphate,affects^expression,other
ABCA7,MESH:C006780,bisphenol A,affects^expression,other
ABCA7,MESH:C012589,trichostatin A,affects^expression,other
ABCA7,MESH:D000393,Air Pollutants,affects^expression|increases^abundance,activates
ABCA7,MESH:D010126,Ozone,affects^expression|increases^abundance,activates
ABCA8,MESH:D014635,Valproic Acid,affects^expression,other
ABCA8,MESH:D014750,Vincristine,affects^expression|decreases^response to substance,inhibits
ABCA8,MESH:D015123,"7,8-Dihydro-7,8-dihydroxybenzo(a)pyrene 9,10-oxide",affects^expression,other
