gene_symbol,action_family,n_full,n_strict,pruned
ABHD16A,activates,27,27,0
ABHD16A,inhibits,12,12,0
ABHD16A,other,3,,3
ABHD16B,activates,13,13,0
ABHD16B,inhibits,4,4,0
ABHD17A,activates,7,7,0
ABHD17A,inhibits,12,12,0
ABHD17A,modifies,2,2,0
ABHD17A,other,3,,3
ABHD17AP1,inhibits,1,1,0
ABHD17AP4,inhibits,3,3,0
ABHD17AP5,activates,2,,2
ABHD17AP5,inhibits,1,1,0
ABHD17AP6,inhibits,1,1,0
ABHD17B,activates,10,10,0
ABHD17B,inhibits,20,20,0
ABHD17B,other,4,,4
ABHD17C,activates,7,7,0
ABHD17C,inhibits,18,18,0
ABHD17C,other,3,,3
ABHD18,activates,6,6,0
ABHD18,inhibits,8,8,0
ABHD18,other,1,,1
ABHD2,activates,35,35,0
ABHD2,inhibits,34,34,0
ABHD2,other,7,,7
ABHD3,activates,55,53,2
ABHD3,inhibits,5,5,0
ABHD3,modifies,1,1,0
ABHD3,other,4,,4
ABHD4,activates,42,42,0
ABHD4,inhibits,9,9,0
ABHD4,other,3,,3
ABHD5,activates,41,41,0
ABHD5,binds,1,1,0
ABHD5,inhibits,19,19,0
ABHD5,modifies,1,1,0
ABHD5,other,9,,9
ABHD6,activates,12,12,0
ABHD6,inhibits,31,31,0
ABHD6,other,2,,2
ABHD8,activates,13,13,0
ABHD8,inhibits,8,8,0
ABHD8,modifies,1,1,0
ABHD8,other,5,,5
ABI1,activates,27,25,2
ABI1,inhibits,20,20,0
ABI1,modifies,3,3,0
ABI1,other,4,,4
ABI2,activates,15,15,0
ABI2,inhibits,17,17,0
ABI2,modifies,2,2,0
ABI2,other,2,,2
ABI3,activates,12,10,2
ABI3,inhibits,16,16,0
ABI3,other,1,,1
ABI3BP,activates,18,18,0
ABI3BP,inhibits,33,33,0
ABI3BP,other,1,,1
ABITRAM,activates,11,11,0
ABITRAM,inhibits,6,6,0
ABITRAMP1,activates,1,1,0
ABL,inhibits,3,3,0
ABL1,activates,55,55,0
ABL1,binds,2,2,0
ABL1,inhibits,99,98,1
ABL1,modifies,5,5,0
ABL1,other,10,,10
ABL2,activates,45,43,2
ABL2,binds,3,3,0
ABL2,inhibits,32,32,0
ABL2,modifies,2,2,0
ABL2,other,8,,8
ABLIM1,activates,37,37,0
ABLIM1,inhibits,41,41,0
ABLIM1,modifies,4,4,0
ABLIM1,other,7,,7
ABLIM2,activates,23,23,0
ABLIM2,inhibits,25,25,0
ABLIM2,modifies,5,5,0
ABLIM2,other,3,,3
ABLIM3,activates,40,40,0
ABLIM3,inhibits,11,11,0
ABLIM3,modifies,2,2,0
ABLIM3,other,7,,7
ABO,activates,6,6,0
ABO,inhibits,6,6,0
ABO,modifies,1,1,0
ABP1,activates,2,2,0
ABP1,inhibits,3,3,0
ABP1,modifies,2,2,0
ABR,activates,25,23,2
ABR,inhibits,25,25,0
ABR,modifies,7,7,0
ABR,other,6,,6
ABRA,activates,4,4,0
ABRA,inhibits,4,4,0
ABRA,other,1,,1
ABRACL,activates,16,16,0
ABRACL,inhibits,29,29,0
ABRACL,other,8,,8
ABRAXAS1,activates,15,15,0
ABRAXAS1,inhibits,25,25,0
ABRAXAS1,other,2,,2
ABRAXAS2,activates,10,10,0
ABRAXAS2,inhibits,11,11,0
ABRAXAS2,other,2,,2
ABT1,activates,11,11,0
ABT1,binds,1,1,0
ABT1,inhibits,7,7,0
ABT1,modifies,1,1,0
ABT1,other,2,,2
ABT1P1,activates,1,1,0
ABTB1,activates,18,16,2
ABTB1,inhibits,8,8,0
ABTB1,other,4,,4
ABTB2,activates,41,39,2
ABTB2,inhibits,9,9,0
ABTB2,modifies,1,1,0
ABTB2,other,4,,4
ABTB3,activates,28,28,0
ABTB3,inhibits,25,25,0
ABTB3,modifies,3,3,0
ABTB3,other,5,,5
ACAA1,activates,39,39,0
ACAA1,inhibits,28,28,0
ACAA1,other,4,,4
ACAA1A,activates,3,,3
ACAA1A,inhibits,1,1,0
ACAA2,activates,30,28,2
ACAA2,inhibits,42,42,0
ACAA2,other,3,,3
ACAA2P1,inhibits,1,1,0
ACACA,activates,92,92,0
ACACA,inhibits,178,178,0
ACACA,modifies,4,4,0
ACACA,other,12,,12
ACACB,activates,32,30,2
ACACB,inhibits,50,50,0
ACACB,modifies,4,4,0
ACACB,other,6,,6
ACAD10,activates,6,6,0
ACAD10,inhibits,16,16,0
ACAD11,activates,33,33,0
ACAD11,inhibits,23,23,0
ACAD11,other,4,,4
ACAD8,activates,12,10,2
ACAD8,inhibits,30,30,0
ACAD9,activates,17,17,0
ACAD9,inhibits,49,49,0
ACAD9,modifies,1,1,0
ACAD9,other,2,,2
ACADL,activates,9,9,0
ACADL,inhibits,33,33,0
ACADL,modifies,1,1,0
ACADL,other,1,,1
ACADM,activates,46,44,2
ACADM,binds,1,1,0
ACADM,inhibits,39,39,0
ACADM,modifies,1,1,0
ACADM,other,6,,6
ACADS,activates,28,28,0
ACADS,inhibits,25,25,0
ACADS,modifies,2,2,0
ACADS,other,3,,3
ACADSB,activates,21,21,0
ACADSB,inhibits,43,43,0
ACADSB,other,4,,4
ACADVL,activates,58,55,3
ACADVL,inhibits,31,31,0
ACADVL,other,5,,5
ACAN,activates,23,23,0
ACAN,inhibits,43,43,0
ACAN,modifies,1,1,0
ACAN,other,3,,3
ACAP1,activates,15,13,2
ACAP1,inhibits,8,8,0
ACAP1,modifies,1,1,0
ACAP1,other,3,,3
ACAP2,activates,23,23,0
ACAP2,inhibits,18,18,0
ACAP2,modifies,1,1,0
ACAP2,other,1,,1
ACAP2-IT1,activates,1,1,0
ACAP2-IT1,inhibits,1,1,0
ACAP3,activates,16,14,2
ACAP3,inhibits,13,13,0
ACAP3,other,1,,1
ACAT1,activates,25,25,0
ACAT1,inhibits,54,54,0
ACAT1,other,3,,3
ACAT2,activates,57,57,0
ACAT2,binds,1,1,0
ACAT2,inhibits,80,80,0
ACAT2,modifies,2,2,0
ACAT2,other,12,,12
ACBD3,activates,37,37,0
ACBD3,inhibits,13,13,0
ACBD3,modifies,1,1,0
ACBD3,other,3,,3
ACBD3-AS1,activates,5,5,0
ACBD3-AS1,inhibits,1,1,0
ACBD4,activates,14,14,0
ACBD4,inhibits,21,21,0
ACBD4,modifies,1,1,0
ACBD4,other,3,,3
ACBD5,activates,22,22,0
ACBD5,inhibits,19,19,0
ACBD5,modifies,1,1,0
ACBD5,other,3,,3
ACBD6,activates,11,11,0
ACBD6,inhibits,11,11,0
ACBD6,other,2,,2
ACBD7,activates,14,14,0
ACBD7,inhibits,20,20,0
ACBD7,modifies,1,1,0
ACBD7,other,2,,2
ACCS,activates,7,7,0
