gene_symbol,action_family,n_full,n_strict,pruned
PCDHGB3,inhibits,5,5,0
PCDHGB4,activates,5,5,0
PCDHGB4,inhibits,14,14,0
PCDHGB4,modifies,2,2,0
PCDHGB4,other,1,,1
PCDHGB5,activates,6,6,0
PCDHGB5,inhibits,4,4,0
PCDHGB5,other,1,,1
PCDHGB6,activates,6,6,0
PCDHGB6,inhibits,4,4,0
PCDHGB6,other,1,,1
PCDHGB7,activates,8,8,0
PCDHGB7,inhibits,5,5,0
PCDHGC3,activates,19,19,0
PCDHGC3,inhibits,14,14,0
PCDHGC3,modifies,1,1,0
PCDHGC3,other,1,,1
PCDHGC4,activates,7,7,0
PCDHGC4,inhibits,4,4,0
PCDHGC5,activates,5,5,0
PCDHGC5,inhibits,1,1,0
PCED1A,activates,15,15,0
PCED1A,inhibits,21,21,0
PCED1B,activates,9,9,0
PCED1B,inhibits,23,23,0
PCED1B,modifies,1,1,0
PCED1B,other,2,,2
PCED1B-AS1,activates,3,3,0
PCF11,activates,17,17,0
PCF11,inhibits,31,31,0
PCF11,modifies,2,2,0
PCF11,other,3,,3
PCGEM1,inhibits,4,4,0
PCGF1,activates,18,18,0
PCGF1,inhibits,6,6,0
PCGF1,other,3,,3
PCGF2,activates,9,9,0
PCGF2,inhibits,21,21,0
PCGF2,other,2,,2
PCGF3,activates,10,10,0
PCGF3,inhibits,10,10,0
PCGF3,modifies,2,2,0
PCGF3,other,1,,1
PCGF3-AS1,inhibits,1,1,0
PCGF5,activates,30,28,2
PCGF5,inhibits,16,16,0
PCGF5,other,4,,4
PCGF6,activates,10,10,0
PCGF6,inhibits,4,4,0
PCGF6,other,2,,2
PCID2,activates,14,12,2
PCID2,inhibits,28,28,0
PCID2,other,3,,3
PCIF1,activates,13,13,0
PCIF1,inhibits,16,16,0
PCIF1,modifies,2,2,0
PCIF1,other,3,,3
PCK1,activates,72,72,0
PCK1,inhibits,81,81,0
PCK1,modifies,1,1,0
PCK1,other,9,,9
PCK2,activates,97,97,0
PCK2,inhibits,56,56,0
PCK2,modifies,1,1,0
PCK2,other,15,,15
PCLAF,activates,30,30,0
PCLAF,inhibits,73,73,0
PCLAF,other,7,,7
PCLO,activates,27,27,0
PCLO,inhibits,15,15,0
PCLO,modifies,1,1,0
PCLO,other,3,,3
PCM1,activates,13,11,2
PCM1,binds,1,1,0
PCM1,inhibits,43,43,0
PCM1,modifies,3,3,0
PCM1,other,3,,3
PCMT1,activates,24,24,0
PCMT1,binds,1,1,0
PCMT1,inhibits,32,32,0
PCMT1,modifies,2,2,0
PCMT1,other,5,,5
PCMTD1,activates,18,18,0
PCMTD1,inhibits,36,36,0
PCMTD1,other,2,,2
PCMTD2,activates,15,15,0
PCMTD2,inhibits,23,23,0
PCMTD2,other,3,,3
PCNA,activates,143,126,17
PCNA,binds,3,2,1
PCNA,inhibits,303,303,0
PCNA,modifies,2,2,0
PCNA,other,27,,27
PCNA-AS1,activates,4,4,0
PCNA-AS1,inhibits,1,1,0
PCNAP1,activates,1,1,0
PCNAP1,inhibits,1,1,0
PCNAP3,activates,1,1,0
PCNP,activates,23,21,2
PCNP,inhibits,19,19,0
PCNP,modifies,2,1,1
PCNP,other,3,,3
PCNPP3,activates,2,2,0
PCNT,activates,21,21,0
PCNT,binds,1,1,0
PCNT,inhibits,13,13,0
PCNT,modifies,4,4,0
PCNT,other,3,,3
PCNX1,activates,21,19,2
PCNX1,inhibits,18,18,0
PCNX1,modifies,4,4,0
PCNX1,other,2,,2
PCNX2,activates,22,22,0
PCNX2,inhibits,8,8,0
PCNX2,modifies,3,3,0
PCNX2,other,4,,4
PCNX3,activates,13,11,2
PCNX3,inhibits,10,10,0
PCNX3,modifies,2,2,0
PCNX3,other,2,,2
PCNX4,activates,8,8,0
PCNX4,inhibits,16,16,0
PCNX4,other,5,,5
PCOLCE,activates,28,28,0
PCOLCE,inhibits,20,20,0
PCOLCE,modifies,1,1,0
PCOLCE,other,5,,5
PCOLCE2,activates,33,33,0
PCOLCE2,inhibits,30,30,0
PCOLCE2,modifies,2,2,0
PCOLCE2,other,5,,5
PCOLCE-AS1,activates,3,3,0
PCOLCE-AS1,inhibits,8,8,0
PCOTH,activates,4,4,0
PCOTH,inhibits,8,8,0
PCOTH,modifies,2,2,0
PCOTH,other,1,,1
PCP2,activates,2,2,0
PCP2,inhibits,6,6,0
PCP2,modifies,1,1,0
PCP2,other,2,,2
PCP4,activates,16,16,0
PCP4,inhibits,9,9,0
PCP4,modifies,1,1,0
PCP4,other,2,,2
PCP4L1,activates,18,18,0
PCP4L1,inhibits,6,6,0
PCP4L1,modifies,1,1,0
PCP4L1,other,4,,4
PCSK1,activates,17,17,0
PCSK1,inhibits,24,24,0
PCSK1,modifies,1,1,0
PCSK1,other,2,,2
PCSK1N,activates,11,11,0
PCSK1N,inhibits,14,14,0
PCSK1N,modifies,1,1,0
PCSK1N,other,3,,3
PCSK2,activates,11,11,0
PCSK2,inhibits,16,16,0
PCSK2,modifies,1,1,0
PCSK2,other,1,,1
PCSK4,activates,8,8,0
PCSK4,inhibits,12,12,0
PCSK4,other,2,,2
PCSK5,activates,29,27,2
PCSK5,inhibits,24,24,0
PCSK5,modifies,2,2,0
PCSK5,other,4,,4
PCSK6,activates,24,24,0
PCSK6,inhibits,40,40,0
PCSK6,modifies,2,2,0
PCSK6,other,4,,4
PCSK6-AS1,activates,1,1,0
PCSK7,activates,18,18,0
PCSK7,binds,1,1,0
PCSK7,inhibits,7,7,0
PCSK7,modifies,1,1,0
PCSK7,other,3,,3
PCSK9,activates,34,34,0
PCSK9,binds,1,1,0
PCSK9,inhibits,74,74,0
PCSK9,modifies,1,1,0
PCSK9,other,7,,7
PCTP,activates,15,15,0
PCTP,inhibits,25,25,0
PCTP,modifies,1,1,0
PCTP,other,3,,3
PCX,inhibits,2,2,0
PCYOX1,activates,25,23,2
PCYOX1,inhibits,33,33,0
PCYOX1,modifies,1,1,0
PCYOX1,other,9,,9
PCYOX1L,activates,24,24,0
PCYOX1L,inhibits,35,35,0
PCYOX1L,modifies,1,1,0
PCYOX1L,other,4,,4
PCYT1A,activates,29,29,0
PCYT1A,binds,1,1,0
PCYT1A,inhibits,11,11,0
PCYT1A,modifies,2,2,0
PCYT1A,other,3,,3
PCYT1B,activates,16,16,0
PCYT1B,inhibits,15,15,0
PCYT1B,modifies,1,1,0
PCYT1B,other,2,,2
PCYT2,activates,24,24,0
PCYT2,inhibits,31,31,0
PCYT2,modifies,3,3,0
PCYT2,other,4,,4
PDAP1,activates,12,12,0
PDAP1,binds,1,1,0
PDAP1,inhibits,22,22,0
PDAP1,modifies,2,2,0
PDAP1,other,4,,4
PDC,activates,3,3,0
PDC,inhibits,1,1,0
PDCD1,activates,13,13,0
PDCD1,inhibits,14,14,0
PDCD1,modifies,3,3,0
PDCD10,activates,11,11,0
PDCD10,binds,2,1,1
PDCD10,inhibits,23,23,0
PDCD10,modifies,1,1,0
PDCD10,other,6,,6
PDCD11,activates,14,14,0
PDCD11,binds,1,1,0
PDCD11,inhibits,20,20,0
PDCD11,other,4,,4
PDCD1LG2,activates,20,20,0
PDCD1LG2,inhibits,18,18,0
PDCD1LG2,other,1,,1
PDCD2,activates,18,16,2
PDCD2,binds,1,1,0
PDCD2,inhibits,16,16,0
PDCD2,other,7,,7
PDCD2L,activates,13,13,0
PDCD2L,inhibits,10,10,0
PDCD2L,modifies,1,1,0
PDCD2L,other,4,,4
PDCD4,activates,72,72,0
PDCD4,binds,1,1,0
PDCD4,inhibits,87,87,0
PDCD4,modifies,4,4,0
PDCD4,other,11,,11
PDCD4-AS1,activates,6,6,0
PDCD4-AS1,inhibits,13,13,0
PDCD4-AS1,modifies,1,1,0
PDCD4-AS1,other,1,,1
PDCD5,activates,38,38,0
PDCD5,inhibits,27,27,0
PDCD5,other,2,,2
PDCD6,activates,24,22,2
PDCD6,binds,1,1,0
PDCD6,inhibits,22,22,0
PDCD6,modifies,1,1,0
PDCD6,other,2,,2
PDCD6-AHRR,activates,2,2,0
PDCD6IP,activates,29,29,0
PDCD6IP,binds,1,1,0
PDCD6IP,inhibits,48,48,0
PDCD6IP,other,4,,4
PDCD6IPP2,inhibits,1,1,0
PDCD7,activates,13,13,0
PDCD7,inhibits,15,15,0
PDCD7,modifies,1,1,0
PDCD7,other,6,,6
PDCL,activates,18,18,0
PDCL,inhibits,8,8,0
PDCL,other,3,,3
PDCL2,activates,4,4,0
PDCL3,activates,10,10,0
PDCL3,inhibits,17,17,0
PDCL3,other,2,,2
PDCL3P4,activates,3,1,2
PDCL3P4,inhibits,1,1,0
PDE10A,activates,18,16,2
PDE10A,inhibits,44,44,0
PDE10A,modifies,1,1,0
PDE10A,other,1,,1
PDE11A,activates,18,18,0
PDE11A,inhibits,31,31,0
PDE11A,modifies,1,1,0
PDE11A-AS1,inhibits,1,1,0
PDE12,activates,29,29,0
PDE12,inhibits,19,19,0
PDE12,modifies,1,1,0
PDE12,other,2,,2
PDE1A,activates,28,27,1
PDE1A,inhibits,25,25,0
PDE1A,modifies,1,1,0
PDE1A,other,3,,3
PDE1B,activates,11,11,0
PDE1B,inhibits,12,12,0
PDE1B,modifies,2,2,0
PDE1B,other,2,,2
PDE1C,activates,22,22,0
PDE1C,inhibits,30,30,0
PDE1C,modifies,4,4,0
PDE2A,activates,36,34,2
PDE2A,binds,1,1,0
PDE2A,inhibits,32,32,0
PDE2A,modifies,3,3,0
PDE2A,other,3,,3
PDE3A,activates,42,37,5
PDE3A,binds,1,1,0
PDE3A,inhibits,34,34,0
PDE3A,other,4,,4
PDE3B,activates,19,17,2
PDE3B,inhibits,32,32,0
PDE3B,modifies,1,1,0
PDE3B,other,3,,3
PDE4A,activates,35,35,0
PDE4A,inhibits,29,29,0
PDE4A,modifies,4,4,0
PDE4A,other,2,,2
PDE4B,activates,49,49,0
PDE4B,inhibits,57,57,0
PDE4B,modifies,1,1,0
PDE4B,other,16,,16
PDE4C,activates,25,25,0
PDE4C,inhibits,23,23,0
PDE4C,modifies,2,2,0
PDE4C,other,5,,5
PDE4D,activates,56,56,0
PDE4D,binds,4,4,0
PDE4D,inhibits,50,50,0
PDE4D,modifies,4,4,0
PDE4D,other,7,,7
PDE4DIP,activates,42,42,0
PDE4DIP,inhibits,22,22,0
PDE4DIP,modifies,3,3,0
PDE4DIP,other,12,,12
PDE4DIPP1,modifies,1,1,0
PDE4DIPP2,activates,1,1,0
PDE4DIPP2,inhibits,1,1,0
PDE4DIPP4,inhibits,1,1,0
PDE5,binds,1,1,0
PDE5,inhibits,1,1,0
PDE5,modifies,8,8,0
PDE5A,activates,23,21,2
PDE5A,inhibits,74,74,0
PDE5A,other,8,,8
PDE6A,activates,8,8,0
PDE6A,inhibits,10,10,0
PDE6A,modifies,1,1,0
PDE6B,activates,6,6,0
PDE6B,inhibits,9,9,0
PDE6B,modifies,2,2,0
PDE6B,other,2,,2
PDE6B-AS1,activates,1,1,0
PDE6B-AS1,inhibits,2,2,0
PDE6C,activates,14,14,0
PDE6C,inhibits,9,9,0
PDE6C,modifies,1,1,0
PDE6C,other,2,,2
PDE6D,activates,12,12,0
PDE6D,inhibits,9,9,0
PDE6D,modifies,1,1,0
PDE6D,other,6,,6
PDE6G,activates,6,6,0
PDE6G,inhibits,2,2,0
PDE6G,modifies,1,1,0
PDE6H,activates,3,3,0
PDE6H,inhibits,3,3,0
PDE7A,activates,15,15,0
PDE7A,inhibits,37,37,0
PDE7A,modifies,2,2,0
PDE7A,other,4,,4
PDE7B,activates,28,26,2
PDE7B,inhibits,37,37,0
PDE7B,modifies,2,2,0
PDE7B,other,1,,1
PDE7B-AS1,activates,1,1,0
PDE8A,activates,26,24,2
PDE8A,inhibits,34,34,0
PDE8A,modifies,2,2,0
PDE8A,other,4,,4
PDE8B,activates,16,16,0
PDE8B,inhibits,31,31,0
PDE8B,modifies,1,1,0
PDE8B,other,4,,4
PDE9A,activates,24,24,0
PDE9A,inhibits,31,31,0
PDE9A,modifies,2,2,0
PDE9A,other,4,,4
PDF,activates,8,8,0
PDF,inhibits,8,8,0
PDF,modifies,1,1,0
PDF,other,1,,1
PDGFA,activates,85,85,0
PDGFA,inhibits,86,86,0
PDGFA,other,7,,7
PDGFAA,activates,1,1,0
PDGFAA,inhibits,2,2,0
PDGFA-DT,activates,4,4,0
PDGFA-DT,inhibits,8,8,0
PDGFB,activates,68,68,0
PDGFB,binds,2,,2
PDGFB,inhibits,171,171,0
PDGFB,modifies,1,1,0
PDGFB,other,4,,4
PDGFBB,activates,2,2,0
PDGFBB,other,2,,2
PDGFC,activates,30,30,0
PDGFC,inhibits,47,47,0
PDGFC,other,7,,7
PDGFD,activates,17,17,0
PDGFD,inhibits,23,23,0
PDGFD,modifies,2,2,0
PDGFD,other,8,,8
PDGFRA,activates,60,58,2
PDGFRA,inhibits,49,49,0
PDGFRA,modifies,5,5,0
PDGFRA,other,5,,5
PDGFRB,activates,47,45,2
PDGFRB,inhibits,105,105,0
PDGFRB,modifies,5,5,0
PDGFRB,other,15,,15
PDGFRL,activates,23,21,2
PDGFRL,inhibits,41,41,0
PDGFRL,modifies,1,1,0
PDGFRL,other,1,,1
PDHA1,activates,29,27,2
PDHA1,inhibits,40,40,0
PDHA1,modifies,2,2,0
PDHA1,other,4,,4
PDHA2,activates,4,4,0
PDHA2,modifies,1,1,0
PDHB,activates,20,20,0
PDHB,binds,1,1,0
PDHB,inhibits,38,38,0
PDHB,other,3,,3
PDHX,activates,30,30,0
PDHX,inhibits,42,42,0
PDHX,modifies,5,5,0
PDHX,other,4,,4
PDIA2,activates,10,10,0
PDIA2,inhibits,18,18,0
PDIA2,modifies,1,1,0
PDIA3,activates,44,42,2
PDIA3,binds,5,5,0
PDIA3,inhibits,34,34,0
PDIA3,modifies,5,5,0
PDIA3,other,9,,9
PDIA3P1,activates,3,3,0
PDIA3P1,inhibits,5,5,0
PDIA4,activates,42,42,0
PDIA4,binds,2,2,0
PDIA4,inhibits,40,40,0
PDIA4,other,6,,6
PDIA5,activates,39,39,0
PDIA5,inhibits,20,20,0
PDIA5,modifies,1,1,0
PDIA5,other,5,,5
PDIA6,activates,49,49,0
PDIA6,binds,1,1,0
PDIA6,inhibits,32,32,0
PDIA6,modifies,1,1,0
PDIA6,other,6,,6
PDIK1L,activates,9,7,2
PDIK1L,inhibits,24,24,0
PDIK1L,other,2,,2
PDILT,activates,4,4,0
PDK,inhibits,3,3,0
PDK1,activates,73,73,0
PDK1,inhibits,91,91,0
PDK1,modifies,3,3,0
PDK1,other,5,,5
PDK2,activates,29,25,4
PDK2,inhibits,35,35,0
PDK2,other,1,,1
PDK3,activates,32,32,0
PDK3,inhibits,42,42,0
PDK3,modifies,1,1,0
PDK3,other,4,,4
PDK4,activates,99,96,3
PDK4,binds,1,1,0
PDK4,inhibits,51,51,0
PDK4,other,21,,21
PDLIM1,activates,61,56,5
PDLIM1,inhibits,39,39,0
PDLIM1,modifies,1,1,0
PDLIM1,other,9,,9
PDLIM1P4,inhibits,1,1,0
PDLIM2,activates,31,22,9
PDLIM2,inhibits,23,23,0
PDLIM2,modifies,2,2,0
PDLIM2,other,7,,7
PDLIM3,activates,35,35,0
PDLIM3,inhibits,11,11,0
PDLIM3,modifies,3,3,0
PDLIM3,other,5,,5
PDLIM4,activates,25,25,0
PDLIM4,inhibits,19,19,0
PDLIM4,modifies,3,3,0
PDLIM4,other,1,,1
PDLIM5,activates,49,49,0
PDLIM5,binds,1,1,0
PDLIM5,inhibits,53,53,0
PDLIM5,modifies,5,5,0
PDLIM5,other,5,,5
PDLIM7,activates,56,54,2
PDLIM7,inhibits,26,26,0
PDLIM7,other,7,,7
PDP1,activates,22,22,0
PDP1,inhibits,25,25,0
PDP1,modifies,1,1,0
PDP1,other,7,,7
PDP2,activates,20,20,0
PDP2,inhibits,20,20,0
PDP2,other,3,,3
PDPK1,activates,98,96,2
PDPK1,inhibits,134,134,0
PDPK1,modifies,4,4,0
PDPK1,other,8,,8
PDPK2P,activates,1,1,0
PDPK2P,inhibits,2,2,0
PDPN,activates,37,37,0
PDPN,inhibits,21,21,0
PDPN,modifies,2,2,0
PDPR,activates,11,11,0
PDPR,inhibits,22,22,0
PDPR,modifies,1,1,0
PDPR,other,3,,3
PDPR2P,activates,1,1,0
PDR-1,inhibits,5,5,0
PDRG1,activates,26,26,0
PDRG1,inhibits,12,12,0
PDRG1,other,2,,2
PDS5A,activates,13,13,0
PDS5A,binds,1,1,0
PDS5A,inhibits,20,20,0
PDS5A,modifies,1,1,0
PDS5A,other,6,,6
PDS5B,activates,25,25,0
PDS5B,binds,1,1,0
PDS5B,inhibits,30,30,0
PDS5B,modifies,3,3,0
PDS5B,other,3,,3
PDSS1,activates,17,15,2
PDSS1,inhibits,35,35,0
PDSS1,other,4,,4
PDSS2,activates,19,19,0
PDSS2,inhibits,20,20,0
PDSS2,other,5,,5
PDX1,activates,16,16,0
PDX1,inhibits,23,23,0
PDX1,modifies,5,5,0
PDXDC1,activates,25,25,0
PDXDC1,inhibits,16,16,0
PDXDC1,modifies,3,3,0
PDXDC1,other,5,,5
PDXDC2P,activates,4,4,0
PDXDC2P,inhibits,13,13,0
PDXDC2P,other,1,,1
PDXDC2P-NPIPB14P,activates,4,4,0
PDXDC2P-NPIPB14P,inhibits,8,8,0
PDXK,activates,27,25,2
PDXK,inhibits,38,38,0
PDXK,modifies,1,1,0
PDXK,other,11,,11
PDXP,activates,14,14,0
PDXP,inhibits,19,19,0
PDXP,other,3,,3
PDXP-DT,inhibits,2,2,0
PDYN,activates,21,21,0
PDYN,inhibits,13,13,0
PDYN,modifies,2,2,0
PDYN,other,5,,5
PDZD11,activates,4,4,0
PDZD11,inhibits,7,7,0
PDZD11,modifies,1,1,0
PDZD11,other,1,,1
PDZD2,activates,22,20,2
PDZD2,inhibits,32,32,0
PDZD2,modifies,2,2,0
PDZD2,other,3,,3
PDZD4,activates,10,10,0
PDZD4,inhibits,6,6,0
PDZD4,modifies,1,1,0
PDZD4,other,3,,3
PDZD7,activates,16,16,0
PDZD7,inhibits,13,13,0
PDZD8,activates,12,12,0
PDZD8,binds,1,1,0
PDZD8,inhibits,16,16,0
PDZD8,modifies,2,2,0
PDZD8,other,2,,2
PDZD9,inhibits,2,2,0
PDZD9,modifies,1,1,0
PDZK1,activates,42,42,0
PDZK1,inhibits,57,57,0
PDZK1,other,7,,7
PDZK1IP1,activates,17,17,0
PDZK1IP1,inhibits,30,30,0
PDZK1IP1,modifies,1,1,0
PDZK1IP1,other,5,,5
PDZK1P1,activates,2,2,0
PDZK1P1,inhibits,3,3,0
PDZRN3,activates,21,21,0
PDZRN3,inhibits,12,12,0
PDZRN3,modifies,1,1,0
PDZRN3,other,2,,2
PDZRN3-AS1,inhibits,1,1,0
PDZRN4,activates,9,9,0
PDZRN4,inhibits,7,7,0
PDZRN4,modifies,1,1,0
PEA15,activates,66,64,2
PEA15,inhibits,12,12,0
PEA15,modifies,2,2,0
PEA15,other,7,,7
PEAK1,activates,20,18,2
PEAK1,inhibits,13,13,0
PEAK1,modifies,4,4,0
PEAK1,other,2,,2
PEAK3,activates,5,3,2
PEAK3,inhibits,9,9,0
PEAK3,other,1,,1
PEAR1,activates,29,29,0
PEAR1,inhibits,23,23,0
PEAR1,modifies,1,1,0
PEAR1,other,3,,3
PEBP1,activates,29,29,0
PEBP1,binds,3,3,0
PEBP1,inhibits,47,47,0
PEBP1,modifies,2,2,0
PEBP1,other,8,,8
PEBP1P2,activates,2,2,0
PEBP1P2,inhibits,1,1,0
PEBP4,activates,14,14,0
PEBP4,inhibits,8,8,0
PEBP4,modifies,1,1,0
PECAM1,activates,36,34,2
PECAM1,inhibits,63,63,0
PECAM1,modifies,1,1,0
PECAM1,other,7,,7
PECR,activates,17,17,0
PECR,binds,5,5,0
PECR,inhibits,36,36,0
PECR,modifies,1,1,0
PECR,other,3,,3
PEDS1,activates,10,10,0
PEDS1,inhibits,10,10,0
PEDS1,modifies,1,1,0
PEDS1,other,2,,2
PEDS1-UBE2V1,activates,7,7,0
PEDS1-UBE2V1,inhibits,11,11,0
PEDS1-UBE2V1,other,1,,1
PEF1,activates,12,12,0
PEF1,binds,1,1,0
PEF1,inhibits,11,11,0
PEF1,other,4,,4
PEG10,activates,52,52,0
PEG10,binds,1,1,0
PEG10,inhibits,70,70,0
PEG10,modifies,2,2,0
PEG10,other,10,,10
PEG13,activates,10,10,0
PEG13,inhibits,1,1,0
PEG3,activates,13,13,0
PEG3,inhibits,20,20,0
PEG3,modifies,2,2,0
PEG3,other,5,,5
PEG3-AS1,activates,1,1,0
PEG3-AS1,inhibits,1,1,0
PELATON,activates,5,5,0
PELATON,inhibits,4,4,0
PELI1,activates,69,67,2
PELI1,inhibits,19,19,0
PELI1,other,4,,4
PELI2,activates,22,20,2
PELI2,inhibits,10,10,0
PELI2,modifies,1,1,0
PELI2,other,4,,4
PELI3,activates,22,18,4
PELI3,inhibits,11,11,0
PELI3,modifies,1,1,0
PELI3,other,2,,2
PELO,activates,38,38,0
PELO,binds,1,1,0
PELO,inhibits,17,17,0
PELO,other,5,,5
PELP1,activates,15,15,0
PELP1,binds,4,4,0
PELP1,inhibits,19,19,0
PELP1,modifies,3,2,1
PELP1,other,2,,2
PEMT,activates,23,21,2
PEMT,inhibits,21,21,0
PEMT,other,5,,5
PENK,activates,19,19,0
PENK,inhibits,12,12,0
PENK,modifies,1,1,0
PENK,other,3,,3
PEPD,activates,32,32,0
PEPD,inhibits,33,33,0
PEPD,modifies,4,4,0
PEPD,other,8,,8
PER1,activates,50,48,2
PER1,inhibits,27,27,0
PER1,other,17,,17
PER2,activates,36,36,0
PER2,inhibits,35,35,0
PER2,modifies,1,1,0
PER2,other,16,,16
PER3,activates,19,19,0
PER3,inhibits,45,45,0
PER3,modifies,1,1,0
PER3,other,3,,3
PER3P1,inhibits,2,2,0
PERCC1,activates,1,1,0
PERM1,activates,8,8,0
PERM1,inhibits,9,9,0
PERM1,modifies,1,1,0
PERM1,other,2,,2
PERP,activates,42,40,2
PERP,inhibits,14,14,0
PERP,other,3,,3
PES1,activates,28,28,0
PES1,binds,1,1,0
PES1,inhibits,23,23,0
PES1,modifies,1,1,0
PES1,other,2,,2
PET100,activates,10,10,0
PET100,inhibits,8,8,0
PET100,other,3,,3
PET117,activates,2,,2
PET117,inhibits,7,7,0
PET117,modifies,1,1,0
PET117,other,3,,3
PEX1,activates,17,17,0
PEX1,inhibits,16,16,0
PEX1,other,4,,4
PEX10,activates,11,11,0
PEX10,inhibits,10,10,0
PEX10,modifies,1,1,0
PEX11A,activates,15,15,0
PEX11A,inhibits,27,27,0
PEX11A,other,6,,6
PEX11B,activates,3,3,0
PEX11B,inhibits,23,23,0
PEX11B,other,2,,2
PEX11G,activates,6,4,2
PEX11G,inhibits,11,11,0
PEX11G,other,2,,2
PEX12,activates,3,3,0
PEX12,inhibits,14,14,0
PEX12,other,1,,1
PEX13,activates,18,18,0
PEX13,inhibits,22,22,0
PEX13,other,5,,5
PEX14,activates,19,19,0
PEX14,inhibits,18,18,0
PEX14,modifies,2,2,0
PEX14,other,2,,2
PEX16,activates,9,9,0
PEX16,inhibits,9,9,0
PEX16,other,1,,1
PEX19,activates,9,9,0
PEX19,inhibits,21,21,0
PEX19,modifies,3,3,0
PEX19,other,2,,2
PEX2,activates,11,11,0
PEX2,inhibits,33,33,0
PEX26,activates,5,3,2
PEX26,inhibits,17,17,0
PEX26,modifies,1,1,0
PEX26,other,1,,1
PEX3,activates,10,10,0
PEX3,inhibits,27,27,0
PEX3,other,4,,4
PEX39,activates,7,7,0
PEX39,inhibits,12,12,0
PEX5,activates,11,11,0
PEX5,inhibits,7,7,0
PEX5,modifies,1,1,0
PEX5,other,3,,3
PEX5L,activates,6,6,0
PEX5L,inhibits,11,11,0
PEX5L,other,2,,2
PEX6,activates,7,7,0
PEX6,inhibits,6,6,0
PEX6,modifies,1,1,0
PEX6,other,3,,3
PEX7,activates,9,9,0
PEX7,inhibits,12,12,0
PEX7,other,1,,1
PF4,activates,16,16,0
PF4,binds,1,1,0
PF4,inhibits,21,21,0
PF4,modifies,1,1,0
PF4,other,5,,5
PF4V1,activates,11,11,0
PF4V1,inhibits,9,9,0
PF4V1,other,2,,2
PFAS,activates,20,20,0
PFAS,inhibits,49,49,0
PFAS,modifies,1,1,0
PFAS,other,12,,12
PFDN1,activates,18,18,0
PFDN1,inhibits,15,15,0
PFDN1,other,1,,1
PFDN2,activates,35,35,0
PFDN2,inhibits,2,2,0
PFDN2,modifies,1,1,0
PFDN2,other,2,,2
PFDN4,activates,29,27,2
PFDN4,inhibits,12,12,0
PFDN5,activates,14,14,0
PFDN5,inhibits,14,14,0
PFDN5,modifies,1,1,0
PFDN5,other,8,,8
PFDN6,activates,12,9,3
PFDN6,inhibits,9,9,0
PFDN6,modifies,1,1,0
PFDN6,other,6,,6
PFK,activates,2,2,0
PFKFB1,activates,4,4,0
PFKFB1,inhibits,20,20,0
PFKFB1,modifies,1,1,0
PFKFB1,other,3,,3
PFKFB2,activates,23,23,0
PFKFB2,inhibits,11,11,0
PFKFB2,modifies,2,2,0
PFKFB2,other,4,,4
PFKFB3,activates,64,62,2
PFKFB3,inhibits,51,51,0
PFKFB3,modifies,4,4,0
PFKFB3,other,8,,8
PFKFB4,activates,45,41,4
PFKFB4,inhibits,51,51,0
PFKFB4,other,12,,12
PFKL,activates,33,31,2
PFKL,binds,1,1,0
PFKL,inhibits,28,28,0
PFKL,modifies,1,1,0
PFKL,other,3,,3
PFKM,activates,35,35,0
PFKM,inhibits,48,48,0
PFKM,other,3,,3
PFKP,activates,74,74,0
PFKP,binds,1,1,0
PFKP,inhibits,38,38,0
PFKP,other,9,,9
PFKP-DT,activates,1,1,0
PFN1,activates,39,39,0
PFN1,binds,3,3,0
PFN1,inhibits,35,35,0
PFN1,modifies,1,1,0
PFN1,other,7,,7
PFN1P1,inhibits,1,1,0
PFN1P2,activates,2,2,0
PFN1P2,inhibits,12,12,0
PFN1P3,activates,1,1,0
PFN1P9,inhibits,1,1,0
PFN2,activates,36,36,0
PFN2,binds,2,2,0
PFN2,inhibits,23,23,0
PFN2,other,3,,3
PFN3,activates,1,1,0
PFN3,inhibits,2,2,0
PFN3,modifies,1,1,0
PFN3,other,1,,1
PFN4,activates,11,11,0
PFN4,binds,1,1,0
PFN4,inhibits,4,4,0
PFN4,modifies,1,1,0
PGA3,activates,4,4,0
PGA3,inhibits,3,3,0
PGA3,other,1,,1
PGA4,activates,2,2,0
PGA4,inhibits,1,1,0
PGA4,other,1,,1
PGA5,activates,12,12,0
PGA5,inhibits,1,1,0
PGAM1,activates,25,25,0
PGAM1,binds,1,1,0
PGAM1,inhibits,42,42,0
PGAM1,modifies,1,1,0
PGAM1,other,9,,9
PGAM1A,activates,1,1,0
PGAM1P2,activates,1,1,0
PGAM1P5,activates,1,1,0
PGAM1P5,inhibits,2,2,0
PGAM1P8,activates,1,1,0
PGAM1P8,inhibits,3,3,0
PGAM2,activates,9,9,0
PGAM2,inhibits,6,6,0
PGAM2,modifies,1,1,0
PGAM2,other,3,,3
PGAM4,activates,29,29,0
PGAM4,binds,1,1,0
PGAM4,inhibits,48,48,0
PGAM4,modifies,1,1,0
PGAM4,other,9,,9
PGAM5,activates,30,30,0
PGAM5,inhibits,21,21,0
PGAM5,modifies,1,1,0
PGAM5,other,4,,4
PGAM5P1,activates,1,1,0
PGAP1,activates,24,24,0
PGAP1,inhibits,27,27,0
PGAP1,modifies,2,2,0
PGAP1,other,3,,3
PGAP2,activates,14,14,0
PGAP2,inhibits,22,22,0
PGAP2,modifies,1,1,0
PGAP2,other,2,,2
PGAP3,activates,64,62,2
PGAP3,inhibits,42,42,0
PGAP3,other,18,,18
